Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Unemployment_rate,Inflation_rate,GDP,Status
4,0,2,2,0,15,42,13,9,10,0,26,130.2,1,0,0,1,0,0,19,0,6,6,0.0,7.3999999999999995,6,0,0,6.874999999999999,12.7,3.7,-1.7,0
4,14,1,15,0,14,13,13,24,24,0,21,111.8,1,0,0,1,0,1,21,0,6,7,6.0,10.571428571428571,6,8,5,11.0,8.9,1.4,3.51,1
4,0,1,16,0,15,66,13,8,10,17,19,137.1,1,0,0,1,0,1,18,0,5,7,4.0,13.25,5,5,5,12.0,10.8,1.4,1.74,1
4,0,1,7,0,15,36,13,9,10,24,8,120.7,1,0,0,1,0,0,20,0,6,6,5.0,13.2,6,7,0,6.874999999999999,15.5,2.8,-4.06,0
4,2,2,11,0,15,46,13,9,24,17,1,127.3,1,0,0,1,0,0,18,0,7,8,7.0,13.30625,8,8,8,14.545,15.5,2.8,-4.06,1
4,0,1,5,0,15,48,13,16,9,6,19,136.3,1,0,0,1,0,0,20,0,5,8,4.0,12.5,5,8,4,12.25,10.8,1.4,1.74,1
4,0,3,1,0,15,28,13,24,24,24,10,120.3,0,0,0,1,0,1,21,0,2,0,0.0,7.3999999999999995,2,0,0,6.874999999999999,11.1,0.6,2.02,1
4,0,4,11,0,15,57,13,9,9,8,9,125.5,1,0,0,1,0,0,18,0,8,12,7.0,12.857142857142858,8,12,7,12.857142857142858,12.7,3.7,-1.7,1
4,0,4,10,0,15,33,13,24,8,0,21,114.9,1,0,0,1,0,1,19,0,6,8,6.0,13.375,6,7,6,12.285714285714286,11.1,0.6,2.02,1
4,0,1,11,0,15,34,13,9,9,6,21,123.9,0,0,0,1,0,0,19,0,7,8,6.0,13.296666666666669,8,9,7,14.114285714285714,11.1,0.6,2.02,1
4,2,2,13,0,15,18,13,9,8,19,10,116.4,1,0,0,1,0,0,21,0,6,9,6.0,11.375,6,9,6,13.285714285714286,16.2,0.3,-0.92,1
4,0,1,8,0,15,46,13,9,24,24,26,122.1,1,0,0,1,0,0,20,0,5,6,5.0,12.0,5,6,5,12.333333333333334,16.2,0.3,-0.92,1
4,3,1,14,1,15,49,13,9,24,24,19,134.5,1,0,0,1,0,0,19,0,6,6,6.0,12.666666666666666,6,8,6,14.375,12.4,0.5,1.79,1
4,0,1,9,1,15,39,13,15,10,6,26,131.4,0,0,0,1,1,0,34,0,5,6,5.0,12.4,5,9,5,13.428571428571429,13.9,-0.3,0.79,1
4,13,1,3,0,15,39,13,8,10,24,20,102.5,0,0,1,0,1,0,34,0,7,7,0.0,7.3999999999999995,7,7,1,10.0,8.9,1.4,3.51,0
4,13,1,6,0,2,43,13,28,10,20,22,128.8,1,0,0,1,1,0,34,0,5,0,0.0,7.3999999999999995,5,0,0,6.874999999999999,7.6,2.6,0.32,0
4,4,1,8,0,15,54,13,10,10,18,20,122.9,0,0,0,1,0,0,34,0,5,10,1.0,10.0,5,8,2,12.0,16.2,0.3,-0.92,0
0,13,1,9,1,15,26,13,9,9,24,8,113.9,1,0,0,1,0,0,34,0,5,8,5.0,11.0,5,5,5,11.6,7.6,2.6,0.32,1
4,16,1,5,0,16,26,17,20,20,6,20,120.0,0,0,1,0,0,0,20,1,6,13,3.0,11.666666666666666,6,11,3,12.0,12.4,0.5,1.79,0
4,0,5,7,0,15,34,13,16,16,5,7,121.1,0,0,1,1,0,0,18,0,6,6,4.0,12.75,5,5,0,6.874999999999999,12.7,3.7,-1.7,0
4,0,2,8,0,15,42,13,16,9,5,21,120.4,1,0,0,1,0,0,22,0,5,5,5.0,14.8,5,5,5,15.8,8.9,1.4,3.51,1
4,0,6,11,0,15,7,13,24,16,5,7,100.6,1,1,0,1,0,0,22,0,7,9,5.0,13.928,8,9,7,14.342857142857142,11.1,0.6,2.02,1
4,2,1,7,0,15,26,13,24,8,17,19,121.4,0,0,0,0,0,0,20,0,6,7,4.0,13.0,6,7,5,13.8,12.4,0.5,1.79,0
4,13,1,9,1,15,43,13,10,10,24,26,109.7,0,0,0,1,0,0,29,0,5,0,0.0,7.3999999999999995,5,0,0,6.874999999999999,16.2,0.3,-0.92,0
4,2,2,13,0,15,39,13,9,9,24,26,127.6,1,0,0,1,0,0,18,0,6,6,6.0,11.666666666666666,6,8,5,13.2,11.1,0.6,2.02,1
4,2,6,11,0,15,41,13,10,9,19,21,132.4,1,0,0,1,0,1,22,0,7,8,6.0,13.516666666666666,8,9,7,13.771428571428572,11.1,0.6,2.02,1
4,16,1,14,1,16,39,13,24,9,24,26,133.4,0,0,0,1,0,1,21,0,6,6,6.0,11.5,6,7,6,13.285714285714286,12.4,0.5,1.79,1
4,0,1,13,0,15,52,13,10,8,24,26,126.1,0,0,0,1,0,1,19,0,6,7,5.0,12.333333333333334,6,7,6,12.833333333333334,12.7,3.7,-1.7,1
4,13,1,15,0,15,39,13,9,8,24,21,113.5,0,0,0,1,0,1,24,0,6,6,6.0,13.666666666666666,6,6,6,14.166666666666666,12.4,0.5,1.79,1
4,0,3,5,0,15,86,13,10,10,13,14,159.3,0,0,0,1,0,0,19,0,5,7,5.0,14.714285714285714,5,5,5,15.8,7.6,2.6,0.32,1
4,13,1,9,1,15,39,13,8,8,24,26,120.0,0,0,0,1,0,0,27,0,5,12,5.0,10.6,5,10,5,11.0,9.4,-0.8,-3.12,0
4,0,1,11,0,15,39,13,24,9,17,19,129.1,1,0,0,1,0,0,18,0,7,9,7.0,13.044444444444444,8,10,8,13.595,15.5,2.8,-4.06,1
3,6,1,15,0,9,39,13,24,16,0,8,130.0,0,0,0,1,0,0,34,0,6,10,0.0,7.3999999999999995,6,6,0,6.874999999999999,12.4,0.5,1.79,0
4,13,1,5,0,8,38,13,16,16,5,7,155.3,1,0,0,1,0,0,27,0,6,9,5.0,13.0,10,13,10,12.9,12.4,0.5,1.79,0
4,2,1,11,0,15,56,13,8,8,19,2,139.8,1,0,0,1,0,0,18,0,8,8,8.0,14.935,8,8,8,14.935,9.4,-0.8,-3.12,1
4,0,2,11,0,15,33,13,9,9,24,26,114.9,0,0,0,1,0,0,18,0,7,8,6.0,13.133333333333333,8,12,7,12.221428571428572,16.2,0.3,-0.92,1
4,16,1,13,0,16,39,13,9,24,24,26,131.9,0,0,0,1,0,1,21,0,6,7,6.0,12.0,6,7,6,12.0,13.9,-0.3,0.79,1
0,17,1,11,0,6,43,13,24,24,17,19,126.0,1,0,0,1,1,0,29,0,7,10,5.0,11.9,8,10,5,11.0,13.9,-0.3,0.79,0
4,0,3,1,0,15,52,13,9,9,17,8,128.2,1,0,0,1,1,1,19,0,2,0,0.0,7.3999999999999995,2,0,0,6.874999999999999,10.8,1.4,1.74,1
4,16,1,0,0,16,39,13,9,10,24,26,130.0,1,0,0,1,1,0,23,0,6,8,6.0,12.571428571428571,6,7,6,12.428571428571429,8.9,1.4,3.51,1
4,0,3,8,0,15,33,13,24,8,19,21,120.1,0,0,1,1,1,0,19,0,5,8,5.0,11.2,5,10,4,10.75,16.2,0.3,-0.92,0
4,2,1,11,0,15,67,13,10,9,9,1,130.8,0,0,0,1,1,0,24,0,7,8,7.0,11.975,8,8,8,13.75,13.9,-0.3,0.79,1
4,0,1,1,0,15,56,13,9,9,17,2,135.8,1,0,0,1,1,0,19,0,2,0,0.0,7.3999999999999995,2,0,0,6.874999999999999,15.5,2.8,-4.06,0
4,2,4,15,0,15,22,13,8,10,17,21,111.7,1,0,0,1,1,0,18,0,6,12,3.0,11.666666666666666,6,12,1,12.0,12.4,0.5,1.79,0
4,0,2,7,0,15,57,13,8,8,24,26,132.9,1,0,0,1,1,0,18,0,6,8,6.0,12.333333333333334,6,11,3,12.333333333333334,10.8,1.4,1.74,1
4,2,3,8,0,15,26,13,9,9,0,21,115.5,1,0,1,1,1,0,18,0,5,8,3.0,10.333333333333334,5,11,3,10.857142857142858,10.8,1.4,1.74,0
4,3,4,15,0,15,9,13,9,10,19,21,106.0,1,0,0,1,1,1,21,0,6,8,4.0,10.5,6,11,1,11.0,9.4,-0.8,-3.12,0
4,2,4,7,0,15,27,13,24,9,24,10,120.3,1,0,1,1,1,1,19,0,6,6,6.0,13.666666666666666,6,6,6,13.333333333333334,8.9,1.4,3.51,1
4,2,4,11,0,15,67,13,8,10,24,26,130.8,0,0,0,1,1,1,22,0,7,7,7.0,14.842857142857142,8,9,8,15.055555555555555,16.2,0.3,-0.92,1
3,13,1,14,1,15,26,13,10,10,24,20,117.0,0,0,0,1,1,0,33,0,6,8,6.0,12.0,6,6,6,11.666666666666666,10.8,1.4,1.74,1
4,0,6,2,0,15,17,13,9,9,24,26,110.2,1,0,0,1,1,0,20,0,6,8,5.0,12.2,6,7,5,12.2,10.8,1.4,1.74,0
4,13,1,9,1,4,54,13,16,16,5,7,155.7,1,0,0,1,1,0,34,0,2,1,0.0,7.3999999999999995,5,0,0,6.874999999999999,10.8,1.4,1.74,0
4,13,1,0,0,10,78,13,16,16,0,7,160.15000000000003,0,0,1,1,1,0,24,0,10,16,6.0,12.166666666666666,10,14,10,13.3,12.4,0.5,1.79,0
3,13,1,14,1,15,39,13,10,10,24,20,110.0,1,0,0,1,0,0,33,0,6,7,6.0,11.0,6,11,5,11.0,9.4,-0.8,-3.12,1
4,17,1,11,0,15,78,13,10,8,24,21,160.15000000000003,1,0,0,1,0,1,22,0,8,8,7.0,13.08,8,8,7,13.08,10.8,1.4,1.74,1
4,13,1,10,0,15,26,13,24,9,0,19,100.0,0,0,0,1,0,1,25,0,5,7,4.0,10.5,5,7,5,11.6,9.4,-0.8,-3.12,1
4,2,1,4,0,15,31,13,9,8,0,22,117.6,1,0,0,1,1,0,20,0,6,9,6.0,10.666666666666666,6,6,5,11.2,7.6,2.6,0.32,1
4,13,1,11,0,15,43,13,24,24,0,2,100.8,0,0,0,1,1,0,24,0,7,16,0.0,7.3999999999999995,7,7,0,6.874999999999999,13.9,-0.3,0.79,0
4,2,2,7,0,15,43,1,9,24,24,26,105.0,1,0,0,0,0,0,21,1,6,6,6.0,14.0,6,6,6,13.5,8.9,1.4,3.51,1
4,9,1,5,0,15,43,1,24,24,0,1,100.0,0,0,0,1,0,0,26,1,6,7,2.0,12.0,6,6,0,6.874999999999999,8.9,1.4,3.51,0
3,13,1,2,0,2,43,13,10,28,20,22,115.5,0,0,0,1,0,0,34,0,6,12,3.0,12.666666666666666,6,14,0,6.874999999999999,7.6,2.6,0.32,0
3,13,1,14,1,15,43,13,10,9,24,26,114.0,0,0,0,1,0,0,34,0,8,11,8.0,11.875,6,7,6,12.333333333333334,12.7,3.7,-1.7,1
4,0,5,7,0,15,46,13,10,24,17,19,124.9,1,0,0,1,0,0,18,0,6,6,6.0,13.666666666666666,6,6,6,13.333333333333334,8.9,1.4,3.51,1
4,0,5,11,0,15,41,13,10,10,19,21,120.3,1,0,0,1,0,1,18,0,7,7,7.0,13.75,8,9,8,14.47777777777778,12.4,0.5,1.79,1
4,0,4,11,0,15,18,13,16,16,5,7,111.5,1,0,1,0,0,0,19,0,7,10,4.0,11.96,7,7,0,6.874999999999999,13.9,-0.3,0.79,0
4,14,1,16,0,14,39,13,8,8,24,26,128.8,0,0,0,1,0,0,21,0,10,12,8.0,12.875,9,14,5,13.4,8.9,1.4,3.51,0
4,0,4,1,0,15,43,13,24,24,24,2,110.0,1,0,0,1,0,0,20,0,2,0,0.0,7.3999999999999995,2,0,0,6.874999999999999,16.2,0.3,-0.92,1
3,13,1,14,1,15,39,13,10,10,18,19,113.5,1,0,0,1,0,0,34,0,6,0,0.0,7.3999999999999995,6,0,0,6.874999999999999,9.4,-0.8,-3.12,0
0,13,1,0,0,13,43,13,10,10,24,20,160.0,0,0,0,1,0,0,34,0,10,16,10.5,14.63157894736842,10,14,12,14.23076923076923,15.5,2.8,-4.06,1
4,3,1,2,0,15,29,13,9,9,24,21,117.4,1,0,0,1,0,0,19,0,6,0,0.0,7.3999999999999995,6,0,0,6.874999999999999,11.1,0.6,2.02,0
4,7,1,4,0,15,39,13,16,24,5,10,122.2,0,0,1,1,0,0,20,0,10,12,10.0,13.0,10,11,11,12.272727272727272,11.1,0.6,2.02,1
4,0,2,13,0,15,28,13,10,8,0,21,118.2,1,0,0,1,0,0,19,0,6,0,0.0,7.3999999999999995,6,0,0,6.874999999999999,16.2,0.3,-0.92,0
4,0,1,16,0,15,16,13,24,24,0,1,106.7,1,0,0,1,0,0,20,0,6,15,4.0,14.2,6,16,4,13.25,15.5,2.8,-4.06,0
4,0,5,11,0,15,14,13,16,20,0,8,108.2,1,0,0,1,0,0,20,0,7,9,6.0,13.266666666666666,7,10,5,12.3,12.4,0.5,1.79,0
4,0,1,13,0,15,57,13,10,10,18,21,136.1,1,0,0,1,0,0,18,0,6,8,6.0,13.857142857142858,6,6,6,15.0,13.9,-0.3,0.79,1
4,0,1,16,0,15,40,13,9,9,24,26,139.8,1,0,0,1,0,0,19,0,5,6,5.0,13.4,5,5,5,12.8,10.8,1.4,1.74,1
4,0,3,7,0,15,76,13,24,8,0,21,157.0,1,0,0,1,0,0,18,0,6,6,6.0,12.666666666666666,6,7,6,12.571428571428571,10.8,1.4,1.74,1
4,2,2,11,0,15,28,13,10,10,24,26,131.0,1,0,0,1,0,0,18,0,7,7,6.0,12.516666666666666,7,7,6,12.516666666666666,7.6,2.6,0.32,0
4,0,2,16,0,15,54,13,10,8,24,21,137.0,0,0,0,1,0,0,18,0,5,12,5.0,13.142857142857142,5,6,5,11.4,9.4,-0.8,-3.12,1
4,0,1,8,0,15,36,13,15,9,0,19,121.8,0,0,0,1,0,0,18,0,5,5,5.0,12.6,5,5,5,14.0,11.1,0.6,2.02,1
4,2,1,15,0,15,43,13,24,24,0,19,131.0,1,0,0,1,0,0,21,0,6,12,3.0,11.0,6,12,2,11.0,9.4,-0.8,-3.12,0
4,0,2,8,0,15,26,13,9,9,24,21,118.6,1,0,0,1,0,0,19,0,5,8,5.0,10.8,5,9,4,11.25,16.2,0.3,-0.92,1
4,0,1,1,0,15,48,13,16,9,5,26,122.3,0,0,0,1,0,0,19,0,2,0,0.0,7.3999999999999995,2,0,0,6.874999999999999,10.8,1.4,1.74,0
4,0,1,10,0,15,40,13,8,8,24,26,127.9,0,0,0,1,0,1,19,0,5,5,5.0,12.8,5,5,5,14.2,9.4,-0.8,-3.12,1
4,0,1,16,0,15,39,13,9,8,0,21,121.3,1,0,0,1,0,0,19,0,6,15,6.0,14.166666666666666,6,13,6,12.2,15.5,2.8,-4.06,1
4,2,6,12,0,15,28,13,24,24,0,19,117.1,1,0,0,1,0,0,19,0,7,12,5.0,12.1,7,0,0,6.874999999999999,13.9,-0.3,0.79,0
4,16,1,16,0,16,78,13,10,10,24,26,160.0,1,0,0,1,0,0,20,0,6,7,6.0,14.166666666666666,6,16,5,13.77777777777778,12.4,0.5,1.79,1
4,2,3,13,0,15,40,13,24,27,17,8,122.6,1,0,0,1,0,0,18,0,6,7,6.0,13.0,6,6,6,13.666666666666666,12.4,0.5,1.79,1
4,2,6,11,0,15,41,13,24,10,9,26,128.0,1,0,0,1,0,0,19,0,7,7,7.0,13.467142857142855,8,9,8,15.011111111111113,12.4,0.5,1.79,1
4,0,3,11,0,15,49,13,9,9,17,10,124.9,1,0,0,1,0,1,18,0,7,9,7.0,13.2375,8,9,7,13.742857142857144,13.9,-0.3,0.79,0
4,2,2,4,0,15,39,13,10,10,24,26,123.7,1,0,0,1,0,0,18,0,6,6,6.0,12.333333333333334,6,6,6,13.0,7.6,2.6,0.32,1
4,0,4,8,0,15,34,13,24,9,0,10,120.1,1,0,0,1,0,0,19,0,5,7,5.0,12.4,5,5,5,14.6,8.9,1.4,3.51,1
4,2,6,11,0,15,64,13,24,9,6,8,131.7,1,0,0,1,0,0,19,0,7,8,5.0,14.0,7,7,0,6.874999999999999,13.9,-0.3,0.79,0
4,4,1,13,0,15,39,13,8,10,24,21,133.2,0,0,0,1,0,0,20,0,9,15,9.0,11.666666666666666,7,8,7,11.714285714285714,7.6,2.6,0.32,1
4,0,1,10,0,15,20,13,24,8,6,26,109.3,0,0,1,0,0,1,19,0,6,7,5.0,12.0,6,9,4,12.5,12.4,0.5,1.79,0
4,2,1,10,0,15,26,13,9,9,17,19,113.0,1,0,0,1,0,0,20,0,5,7,4.0,12.2,5,5,4,11.5,7.6,2.6,0.32,1
4,0,1,7,0,15,70,13,24,24,11,5,157.9,0,0,1,1,0,1,18,0,6,6,6.0,14.833333333333334,6,6,6,14.833333333333334,8.9,1.4,3.51,1
4,3,1,11,0,15,95,13,9,24,0,10,160.15000000000003,0,0,0,1,0,0,18,0,7,8,7.0,17.0,8,8,8,17.208333333333336,13.9,-0.3,0.79,1
4,0,5,11,0,15,38,13,10,10,24,26,128.8,1,0,0,1,0,0,19,0,7,7,6.0,12.666666666666666,7,7,6,12.666666666666666,7.6,2.6,0.32,1
4,0,6,7,0,15,19,13,9,24,0,1,110.1,1,0,0,1,0,1,19,0,6,8,6.0,12.666666666666666,6,10,5,12.0,12.4,0.5,1.79,1
4,0,3,13,0,15,46,13,24,22,24,2,121.0,1,0,0,1,0,1,19,0,6,7,6.0,11.333333333333334,6,6,6,11.5,12.4,0.5,1.79,1
4,0,3,11,0,15,56,13,9,9,24,21,131.7,1,0,0,1,0,1,19,0,7,10,7.0,13.605,8,11,8,12.33125,15.5,2.8,-4.06,1
4,2,5,2,0,15,41,13,10,8,17,20,119.1,1,0,0,1,0,1,19,0,6,10,5.0,12.0,6,9,5,10.8,9.4,-0.8,-3.12,1
4,0,4,15,0,15,41,13,22,9,24,26,124.7,1,0,0,1,0,0,19,0,5,10,0.0,7.3999999999999995,5,10,0,6.874999999999999,7.6,2.6,0.32,0
4,2,1,15,0,15,16,13,24,10,24,2,117.2,1,0,0,1,0,0,20,0,6,8,5.0,11.2,6,12,3,11.666666666666666,7.6,2.6,0.32,0
4,0,1,8,0,15,45,13,16,9,5,2,128.8,0,0,0,1,0,0,18,0,5,10,5.0,13.375,5,9,5,14.166666666666666,13.9,-0.3,0.79,1
4,0,1,11,0,15,47,13,24,9,24,26,131.5,0,0,0,1,0,1,20,0,7,8,6.0,13.863333333333337,8,9,7,14.178571428571429,11.1,0.6,2.02,1
4,0,1,16,0,15,38,13,24,8,0,21,123.4,0,0,0,1,0,0,19,0,5,6,5.0,12.4,5,6,5,13.4,7.6,2.6,0.32,1
4,0,1,2,0,15,48,13,10,10,24,26,132.8,1,0,0,1,0,0,18,0,6,7,6.0,13.333333333333334,6,8,5,11.8,7.6,2.6,0.32,1
4,4,1,2,0,15,18,13,16,10,5,19,108.7,1,0,0,1,0,0,21,0,6,10,3.0,12.666666666666666,6,12,3,10.0,9.4,-0.8,-3.12,0
4,0,1,2,0,15,38,13,8,10,18,20,138.1,0,0,0,1,0,0,19,0,6,8,6.0,12.0,6,10,4,11.5,7.6,2.6,0.32,0
4,0,1,8,0,15,40,13,8,8,24,26,126.5,0,0,0,1,0,1,18,0,5,5,5.0,10.6,5,5,5,11.8,12.4,0.5,1.79,1
4,2,2,13,0,15,42,13,24,10,19,26,127.4,1,0,0,1,0,1,18,0,6,8,6.0,12.25,6,7,6,11.857142857142858,12.7,3.7,-1.7,1
4,0,3,13,0,15,33,13,9,24,24,2,123.6,1,0,0,1,0,0,20,0,6,10,4.0,11.0,6,9,6,11.833333333333334,9.4,-0.8,-3.12,1
4,13,1,14,1,15,26,13,24,9,18,10,122.0,0,0,0,1,0,1,24,0,6,11,5.0,11.0,6,9,5,12.6,11.1,0.6,2.02,1
4,0,1,10,0,15,37,13,9,24,0,9,118.2,0,0,0,1,0,0,19,0,6,6,6.0,13.166666666666666,6,9,6,13.0,10.8,1.4,1.74,0
4,0,1,11,0,15,36,13,9,10,24,21,123.9,1,0,0,1,0,1,18,0,7,9,7.0,12.855555555555554,8,12,7,12.761111111111113,15.5,2.8,-4.06,1
4,0,2,11,0,15,45,13,9,9,24,26,125.8,1,0,0,1,0,0,18,0,7,8,7.0,14.91875,8,8,8,15.355,15.5,2.8,-4.06,1
4,2,5,2,0,15,41,13,22,22,0,1,123.3,1,0,0,1,0,0,21,0,6,13,4.0,11.5,6,10,3,11.0,10.8,1.4,1.74,0
4,2,2,10,0,15,31,13,24,9,17,1,124.4,0,0,0,1,0,0,19,0,5,5,5.0,14.2,5,5,5,14.2,7.6,2.6,0.32,1
4,2,1,7,0,15,43,13,9,10,19,21,126.0,0,0,0,1,0,1,19,0,6,6,6.0,12.5,6,7,6,13.0,15.5,2.8,-4.06,1
4,2,3,13,0,15,33,13,9,9,19,10,121.5,0,0,0,1,0,0,19,0,6,10,5.0,11.666666666666666,6,12,4,11.0,13.9,-0.3,0.79,1
4,13,1,11,0,9,39,13,15,15,8,9,130.0,0,0,0,1,0,0,29,0,8,8,7.0,14.257142857142856,8,8,7,14.257142857142856,12.7,3.7,-1.7,1
4,4,1,13,0,15,33,13,9,9,0,10,117.0,1,0,0,1,0,0,21,0,6,13,3.0,12.0,6,12,2,11.333333333333334,16.2,0.3,-0.92,0
4,2,2,12,0,15,43,13,10,10,6,2,108.0,0,0,0,1,0,0,20,0,7,8,7.0,12.457142857142856,8,8,8,13.5625,15.5,2.8,-4.06,1
4,2,1,11,0,15,40,13,15,8,0,19,132.3,1,0,0,1,0,0,19,0,7,7,6.0,11.683333333333332,7,7,6,11.683333333333332,7.6,2.6,0.32,1
4,17,1,14,1,15,67,13,9,15,0,20,148.0,0,0,0,1,0,0,26,0,6,10,3.0,11.666666666666666,6,8,5,12.0,9.4,-0.8,-3.12,1
4,2,2,15,0,15,33,13,10,10,24,10,122.6,1,0,1,0,0,0,20,0,6,8,4.0,11.75,6,6,6,13.166666666666666,11.1,0.6,2.02,0
4,13,1,2,0,15,39,13,10,9,24,19,102.5,0,0,0,1,0,0,27,0,6,9,5.0,13.2,6,10,5,12.0,7.6,2.6,0.32,1
4,0,2,11,0,15,29,13,28,28,13,14,113.3,1,0,0,1,0,0,20,0,7,8,4.0,11.95,7,8,4,11.95,7.6,2.6,0.32,0
4,0,5,2,0,15,56,13,10,9,24,19,133.0,1,0,0,1,0,0,18,0,6,8,5.0,12.4,6,12,5,10.4,9.4,-0.8,-3.12,0
4,6,1,11,0,9,54,13,24,24,24,19,140.0,0,0,0,1,0,0,33,0,7,8,6.0,14.35,8,10,6,14.583333333333334,16.2,0.3,-0.92,0
4,4,1,2,0,15,54,13,16,24,6,8,128.3,1,0,0,1,0,0,34,0,10,16,10.5,12.61904761904762,10,16,12,12.789473684210526,12.4,0.5,1.79,1
4,13,1,7,0,6,43,13,9,9,6,1,104.0,0,0,1,0,0,0,27,0,6,6,5.0,12.0,6,6,0,6.874999999999999,11.1,0.6,2.02,0
4,3,3,4,0,15,40,13,24,10,17,19,122.3,1,0,0,0,0,0,19,0,6,6,6.0,12.166666666666666,6,6,0,6.874999999999999,15.5,2.8,-4.06,0
4,2,2,15,0,15,58,13,24,9,0,20,135.0,0,0,0,1,0,0,20,0,6,0,0.0,7.3999999999999995,6,0,0,6.874999999999999,11.1,0.6,2.02,0
4,3,2,8,0,15,41,13,16,16,17,21,119.1,1,0,1,0,0,0,20,0,5,9,3.0,10.0,5,9,3,10.571428571428571,10.8,1.4,1.74,0
4,2,3,11,0,15,56,13,8,24,24,1,129.0,1,0,0,1,0,1,18,0,7,7,6.0,13.05,7,7,6,13.05,7.6,2.6,0.32,1
4,13,1,16,0,15,43,13,24,9,24,26,160.15000000000003,1,0,0,1,0,0,24,0,6,10,2.0,11.0,6,6,0,6.874999999999999,8.9,1.4,3.51,0
4,2,4,4,0,15,64,13,24,16,0,9,160.15000000000003,1,0,0,1,0,0,20,0,6,7,6.0,11.5,6,6,6,12.0,16.2,0.3,-0.92,1
4,0,1,15,0,15,33,13,9,8,24,10,121.5,0,0,0,1,0,1,21,0,6,7,6.0,12.0,6,6,6,12.5,13.9,-0.3,0.79,1
4,13,1,8,0,15,54,13,22,16,0,8,118.0,1,0,0,1,0,0,24,0,5,5,0.0,7.3999999999999995,5,5,0,6.874999999999999,7.6,2.6,0.32,0
4,7,1,2,0,15,52,13,24,24,0,2,134.0,0,0,0,1,0,0,21,0,6,0,0.0,7.3999999999999995,6,0,0,6.874999999999999,12.4,0.5,1.79,0
4,0,4,11,0,15,57,13,8,8,24,10,129.8,1,0,0,1,0,0,18,0,8,8,7.0,12.242857142857144,8,8,7,12.242857142857144,12.7,3.7,-1.7,1
4,13,1,9,1,8,39,13,9,24,6,1,152.0,1,0,0,1,0,0,27,0,5,0,0.0,7.3999999999999995,5,0,0,6.874999999999999,8.9,1.4,3.51,0
